pid,sol_name,submit_res
0,0.py,True
0,1.py,True
0,2.py,True
0,3.py,True
0,4.py,False
0,5.py,True
0,6.py,True
0,7.py,True
0,8.py,True
0,9.py,True
1,0.py,True
1,1.py,False
1,2.py,True
1,3.py,True
1,4.py,False
1,5.py,True
1,6.py,True
1,7.py,True
1,8.py,False
1,9.py,True
3,0.py,True
3,1.py,True
3,2.py,True
3,3.py,True
3,4.py,True
3,5.py,False
3,6.py,True
3,7.py,True
3,8.py,True
3,9.py,True
5,0.py,True
5,1.py,True
5,2.py,True
5,3.py,True
5,4.py,True
5,5.py,False
5,6.py,True
5,7.py,True
5,8.py,True
5,9.py,True
6,0.py,False
6,1.py,True
6,2.py,True
6,3.py,True
6,4.py,False
6,5.py,True
6,6.py,True
6,7.py,False
6,8.py,True
6,9.py,False
7,0.py,True
7,1.py,True
7,2.py,True
7,3.py,True
7,4.py,True
7,5.py,True
7,6.py,True
7,7.py,True
7,8.py,True
7,9.py,True
8,0.py,True
8,1.py,True
8,2.py,True
8,3.py,True
8,4.py,True
8,5.py,True
8,6.py,True
8,7.py,True
8,8.py,True
8,9.py,True
9,0.py,False
9,1.py,True
9,2.py,True
9,3.py,True
9,4.py,True
9,5.py,True
9,6.py,True
9,7.py,True
9,8.py,True
9,9.py,True
10,0.py,True
10,1.py,True
10,2.py,False
10,3.py,False
10,4.py,False
10,5.py,True
10,6.py,True
10,7.py,True
10,8.py,False
10,9.py,False
11,0.py,True
11,1.py,False
11,2.py,True
11,3.py,True
11,4.py,True
11,5.py,True
11,6.py,True
11,7.py,True
11,8.py,True
11,9.py,True
12,0.py,True
12,1.py,True
12,2.py,True
12,3.py,True
12,4.py,True
12,5.py,True
12,6.py,True
12,7.py,False
12,8.py,True
12,9.py,True
13,0.py,True
13,1.py,True
13,2.py,True
13,3.py,True
13,4.py,True
13,5.py,True
13,6.py,True
13,7.py,True
13,8.py,True
13,9.py,True
14,0.py,True
14,1.py,True
14,2.py,True
14,3.py,True
14,4.py,True
14,5.py,True
14,6.py,True
14,7.py,True
14,8.py,True
14,9.py,True
15,0.py,True
15,1.py,True
15,2.py,True
15,3.py,True
15,4.py,True
15,5.py,True
15,6.py,True
15,7.py,True
15,8.py,True
15,9.py,True
16,0.py,True
16,1.py,True
16,2.py,True
16,3.py,True
16,4.py,True
16,5.py,True
16,6.py,True
16,7.py,True
16,8.py,True
16,9.py,True
17,0.py,True
17,1.py,True
17,2.py,True
17,3.py,True
17,4.py,True
17,5.py,True
17,6.py,True
17,7.py,True
17,8.py,True
17,9.py,True
18,0.py,True
18,1.py,True
18,2.py,True
18,3.py,True
18,4.py,True
18,5.py,True
18,6.py,True
18,7.py,True
18,8.py,True
18,9.py,True
19,0.py,True
19,1.py,True
19,2.py,True
19,3.py,True
19,4.py,True
19,5.py,True
19,6.py,True
19,7.py,True
19,8.py,True
19,9.py,False
20,0.py,False
20,1.py,True
20,2.py,True
20,3.py,True
20,4.py,True
20,5.py,True
20,6.py,True
20,7.py,True
20,8.py,True
20,9.py,True
21,0.py,True
21,1.py,True
21,2.py,True
21,3.py,True
21,4.py,True
21,5.py,True
21,6.py,True
21,7.py,True
21,8.py,True
21,9.py,True
22,0.py,True
22,1.py,True
22,2.py,True
22,3.py,False
22,4.py,True
22,5.py,True
22,6.py,True
22,7.py,True
