task_id,sol_name,submit_res
HumanEval_0,sol0,True
HumanEval_0,sol1,True
HumanEval_0,sol2,True
HumanEval_0,sol3,True
HumanEval_0,sol4,True
HumanEval_0,sol5,True
HumanEval_0,sol6,True
HumanEval_0,sol7,True
HumanEval_0,sol8,True
HumanEval_0,sol9,True
HumanEval_1,sol0,True
HumanEval_1,sol1,True
HumanEval_1,sol2,True
HumanEval_1,sol3,True
HumanEval_1,sol4,True
HumanEval_1,sol5,True
HumanEval_1,sol6,True
HumanEval_1,sol7,True
HumanEval_1,sol8,False
HumanEval_1,sol9,True
HumanEval_3,sol0,True
HumanEval_3,sol1,True
HumanEval_3,sol2,True
HumanEval_3,sol3,True
HumanEval_3,sol4,True
HumanEval_3,sol5,True
HumanEval_3,sol6,True
HumanEval_3,sol7,True
HumanEval_3,sol8,True
HumanEval_3,sol9,True
HumanEval_5,sol0,False
HumanEval_5,sol1,False
HumanEval_5,sol2,False
HumanEval_5,sol3,False
HumanEval_5,sol4,False
HumanEval_5,sol5,False
HumanEval_5,sol6,True
HumanEval_5,sol7,False
HumanEval_5,sol8,False
HumanEval_5,sol9,False
HumanEval_6,sol0,True
HumanEval_6,sol1,True
HumanEval_6,sol2,True
HumanEval_6,sol3,True
HumanEval_6,sol4,True
HumanEval_6,sol5,True
HumanEval_6,sol6,True
HumanEval_6,sol7,True
HumanEval_6,sol8,True
HumanEval_6,sol9,True
HumanEval_7,sol0,True
HumanEval_7,sol1,True
HumanEval_7,sol2,True
HumanEval_7,sol3,True
HumanEval_7,sol4,True
HumanEval_7,sol5,True
HumanEval_7,sol6,True
HumanEval_7,sol7,True
HumanEval_7,sol8,True
HumanEval_7,sol9,True
HumanEval_8,sol0,True
HumanEval_8,sol1,True
HumanEval_8,sol2,True
HumanEval_8,sol3,True
HumanEval_8,sol4,True
HumanEval_8,sol5,True
HumanEval_8,sol6,True
HumanEval_8,sol7,True
HumanEval_8,sol8,True
HumanEval_8,sol9,True
HumanEval_9,sol0,True
HumanEval_9,sol1,True
HumanEval_9,sol2,True
HumanEval_9,sol3,True
HumanEval_9,sol4,True
HumanEval_9,sol5,True
HumanEval_9,sol6,True
HumanEval_9,sol7,True
HumanEval_9,sol8,True
HumanEval_9,sol9,True
HumanEval_10,sol0,False
HumanEval_10,sol1,True
HumanEval_10,sol2,False
HumanEval_10,sol3,True
HumanEval_10,sol4,False
HumanEval_10,sol5,False
HumanEval_10,sol6,True
HumanEval_10,sol7,True
HumanEval_10,sol8,False
HumanEval_10,sol9,True
HumanEval_11,sol0,True
HumanEval_11,sol1,True
HumanEval_11,sol2,True
HumanEval_11,sol3,True
HumanEval_11,sol4,True
HumanEval_11,sol5,True
HumanEval_11,sol6,True
HumanEval_11,sol7,True
HumanEval_11,sol8,True
HumanEval_11,sol9,True
HumanEval_12,sol0,True
HumanEval_12,sol1,True
HumanEval_12,sol2,True
HumanEval_12,sol3,True
HumanEval_12,sol4,True
HumanEval_12,sol5,True
HumanEval_12,sol6,False
HumanEval_12,sol7,True
HumanEval_12,sol8,False
HumanEval_12,sol9,False
HumanEval_13,sol0,True
HumanEval_13,sol1,True
HumanEval_13,sol2,True
HumanEval_13,sol3,True
HumanEval_13,sol4,True
HumanEval_13,sol5,True
HumanEval_13,sol6,False
HumanEval_13,sol7,True
HumanEval_13,sol8,True
HumanEval_13,sol9,True
HumanEval_14,sol0,True
HumanEval_14,sol1,True
HumanEval_14,sol2,True
HumanEval_14,sol3,True
HumanEval_14,sol4,True
HumanEval_14,sol5,True
HumanEval_14,sol6,True
HumanEval_14,sol7,True
HumanEval_14,sol8,True
HumanEval_14,sol9,True
HumanEval_15,sol0,True
HumanEval_15,sol1,True
HumanEval_15,sol2,True
HumanEval_15,sol3,True
HumanEval_15,sol4,True
HumanEval_15,sol5,True
HumanEval_15,sol6,True
HumanEval_15,sol7,True
HumanEval_15,sol8,True
HumanEval_15,sol9,True
HumanEval_16,sol0,True
HumanEval_16,sol1,True
HumanEval_16,sol2,True
HumanEval_16,sol3,True
HumanEval_16,sol4,True
HumanEval_16,sol5,True
HumanEval_16,sol6,True
HumanEval_16,sol7,True
HumanEval_16,sol8,True
HumanEval_16,sol9,True
HumanEval_17,sol0,True
HumanEval_17,sol1,True
HumanEval_17,sol2,True
HumanEval_17,sol3,True
HumanEval_17,sol4,True
HumanEval_17,sol5,True
HumanEval_17,sol6,True
HumanEval_17,sol7,True
HumanEval_17,sol8,True
HumanEval_17,sol9,True
HumanEval_18,sol0,True
HumanEval_18,sol1,True
HumanEval_18,sol2,True
HumanEval_18,sol3,True
HumanEval_18,sol4,True
HumanEval_18,sol5,True
HumanEval_18,sol6,True
HumanEval_18,sol7,True
HumanEval_18,sol8,True
HumanEval_18,sol9,True
HumanEval_19,sol0,True
HumanEval_19,sol1,True
