pid,sol_name,submit_res,extra_submit_res
0,0.py,True,False
0,1.py,True,False
0,2.py,True,False
0,3.py,True,False
0,4.py,True,False
0,5.py,True,False
0,6.py,True,True
0,7.py,True,False
0,8.py,True,False
0,9.py,True,True
1,0.py,True,False
1,1.py,True,False
1,2.py,True,False
1,3.py,True,False
1,4.py,True,False
1,5.py,True,False
1,6.py,True,False
1,7.py,True,False
1,8.py,False,False
1,9.py,True,False
3,0.py,True,True
3,1.py,True,True
3,2.py,True,True
3,3.py,True,True
3,4.py,True,True
3,5.py,True,True
3,6.py,True,True
3,7.py,True,True
3,8.py,True,True
3,9.py,True,True
5,0.py,False,False
5,1.py,False,False
5,2.py,False,False
5,3.py,False,False
5,4.py,False,False
5,5.py,False,False
5,6.py,True,True
5,7.py,False,False
5,8.py,False,False
5,9.py,False,False
6,0.py,True,True
6,1.py,True,False
6,2.py,True,True
6,3.py,True,True
6,4.py,True,False
6,5.py,True,False
6,6.py,True,False
6,7.py,True,False
6,8.py,True,True
6,9.py,True,True
7,0.py,True,False
7,1.py,True,False
7,2.py,True,False
7,3.py,True,False
7,4.py,True,False
7,5.py,True,False
7,6.py,True,False
7,7.py,True,False
7,8.py,True,False
7,9.py,True,False
8,0.py,True,True
8,1.py,True,True
8,2.py,True,True
8,3.py,True,True
8,4.py,True,True
8,5.py,True,True
8,6.py,True,True
8,7.py,True,True
8,8.py,True,True
8,9.py,True,True
9,0.py,True,True
9,1.py,True,True
9,2.py,True,True
9,3.py,True,True
9,4.py,True,True
9,5.py,True,True
9,6.py,True,True
9,7.py,True,True
9,8.py,True,True
9,9.py,True,True
10,0.py,False,False
10,1.py,True,False
10,2.py,False,False
10,3.py,True,False
10,4.py,False,False
10,5.py,False,False
10,6.py,True,False
10,7.py,True,False
10,8.py,False,False
10,9.py,True,False
11,0.py,True,False
11,1.py,True,False
11,2.py,True,False
11,3.py,True,False
11,4.py,True,False
11,5.py,True,False
11,6.py,True,False
11,7.py,True,False
11,8.py,True,False
11,9.py,True,False
12,0.py,True,False
12,1.py,True,False
12,2.py,True,False
12,3.py,True,True
